Station_Code,Lockdown,Pre-Lockdown,pop_den_30s,latitude,longitude,noise_reduction_abs,noise_reduction_pct
BK.JRSC,9.247796229470935e-10,9.435005818844996e-10,68.0,37.4,-122.24,1.872095893740611e-11,1.9842021612762366
BW.MNH,3.0063750196457457e-09,3.1579135372894916e-09,4862.0,48.15,11.6,1.5153851764374594e-10,4.798691156497427
BW.ZUGS,2.0898638612108287e-10,3.3914698365295025e-10,106.0,47.416309,10.97883,1.3016059753186738e-10,38.378816208214005
BX.KOOLE,6.583953991142475e-09,7.4334819146399934e-09,1.0,-22.993059,20.195551,8.49527923497518e-10,11.428398336779448
C1.MG01,1.2368971169993907e-09,2.546298067864116e-09,0.0,-54.93,-67.63,1.3094009508647252e-09,51.42371065627348
C1.MT14,2.190722335969503e-09,3.0485978917107645e-09,3430.0,-33.4,-70.54,8.578755557412615e-10,28.140003575868523
CA.ICJA,1.221812681153729e-08,1.9587956252495253e-08,18302.0,41.3844,2.1189,7.369829440957963e-09,37.62428987464755
CA.POBL,4.106683813294317e-10,5.279919543821956e-10,61.0,41.379251,1.083477,1.1732357305276392e-10,22.220712281505207
CH.SBERN,2.61114910306158e-08,2.8945944612646618e-08,2453.0,46.94582,7.43954,2.834453582030818e-09,9.792230379631253
CH.SEPFL,4.676757812906654e-08,7.324521949291074e-08,2374.0,46.521239,6.565748,2.6477641363844196e-08,36.14930987599391
CH.SGEV,5.1014593015375795e-08,6.583842183119736e-08,13291.0,46.20062,6.13676,1.4823828815821569e-08,22.51546802538535
CH.SKLW,6.9338933013717386e-09,1.1737629353291185e-08,1052.0,47.463,8.56745,4.803736051919447e-09,40.925947713389824
CH.SLOP,1.1841278128539309e-08,1.6229937405133645e-08,972.0,46.16384,8.79055,4.388659276594337e-09,27.04051880820053
CH.SZUZ,1.5504848381350955e-08,1.9018528823393738e-08,4708.0,47.377497,8.530235,3.513680442042783e-09,18.475038078238633
CI.SBC,2.6061434012558696e-09,3.0490821571023653e-09,1058.0,34.440762,-119.71492,4.4293875584649575e-10,14.526953785575717
CI.USC,2.648099961620835e-08,3.199670462084075e-08,2816.0,34.019192,-118.286308,5.5157050046324e-09,17.23835335542585
CN.MNTQ,8.645662440324018e-10,1.1038286463774714e-09,7040.0,45.5003,-73.6228,2.3926240234506955e-10,21.675683370809175
CQ.MVOU,4.294522299681739e-10,4.1437088088494577e-10,46.0,35.016,33.632,-1.5081349083228158e-11,-3.6395774362860323
CU.BBGH,1.7100773677842793e-09,1.915752250882474e-09,472.0,13.1434,-59.5588,2.0567488309819464e-10,10.73598545967791
CU.TGUH,2.0984583650387007e-09,2.5096661260021898e-09,883.0,14.057,-87.273,4.1120776096348904e-10,16.38495880798808
FR.CURIE,8.344121941632345e-09,1.091609790971537e-08,27905.0,48.8445,2.3558,2.5719759680830247e-09,23.56131274522516
G.FDFM,8.624642433794095e-10,1.2573531105468293e-09,109.0,14.73493,-61.159728,3.9488886716741977e-10,31.406361813164846
GB.EDI,2.84492425514363e-10,4.846442675337628e-10,182.0,55.923328,-3.1875,2.0015184201939976e-10,41.29871236028933
GB.GAT2,5.178019499029388e-09,5.158624940858165e-09,81.0,51.145,-0.224,-1.9394558171222695e-11,-0.3759637188897145
GE.ACRG,2.361485717322473e-09,3.1085246335791767e-09,16136.0,5.641485,-0.207117,7.470389162567038e-10,24.031944549738313
GE.SALP,3.8469323631777035e-10,4.937428833972763e-10,635.0,32.0686,35.1914,1.0904964707950592e-10,22.086322810198805
GE.STU,1.7104017157288591e-09,2.1179478557012934e-09,16136.0,5.641485,-0.207117,4.075461399724343e-10,19.242501125576005
GE.WLF,1.8808239790053573e-10,2.515345658286073e-10,857.0,49.6646,6.1526,6.345216792807159e-11,25.226023198460584
GO.TBLG,8.845257697178916e-10,1.2456981848241162e-09,2104.0,41.730919,44.73819,3.611724151062246e-10,28.9935732030644
GR.BFO,5.1610347884483714e-11,6.805095809027178e-11,41.0,48.3301,8.3296,1.6440610205788067e-11,24.159263391970278
GR.BUG,5.372294211758354e-10,5.958285778875869e-10,2348.0,51.4412,7.2707,5.859915671175147e-11,9.834901998072203
HK.HKPS,7.202150661412847e-10,8.324117143159499e-10,12830.0,22.277599,114.141502,1.1219664817466515e-10,13.478504235955505
HL.ATH,1.6214264902135252e-09,1.85905598295212e-09,16736.0,37.97384,23.71767,2.3762949273859477e-10,12.782266640579964
HT.THE,7.09846720124228e-10,8.204786930665073e-10,16147.0,40.6319,22.9628,1.1063197294227932e-10,13.483832533029785
II.MSEY,8.220302286393892e-10,8.720015192264753e-10,352.0,-4.6737,55.4792,4.9971290587086106e-11,5.730642606152113
II.NIL,1.0051981376934929e-09,1.1173633114821995e-09,2.0,-24.08794,-58.22915,1.1216517378870664e-10,10.03837987484284
II.NNA,1.434233804752208e-09,1.0805024536734716e-09,1110.0,-11.9875,-76.8422,-3.5373135107873636e-10,-32.737672170583906
II.SACV,1.13202971225522e-09,1.7906632196138266e-09,63.0,14.9702,-23.6085,6.586335073586065e-10,36.78153994253856
II.TAU,1.45300685815517e-09,1.4352781089961933e-09,1062.0,-42.9099,147.3204,-1.7728749158976845e-11,-1.2352135135242885
