Station_Code,noise_change_pct,Period,pop_den_30s,latitude,longitude
AM.R3EE8,8.410135524791386,Pré-Lockdown (Azul),9167.0,25.06306306,121.5752277
AM.R40AC,2.287987043114839,Pré-Lockdown (Azul),31.0,-5.315315315,151.0208366
AM.R45D7,17.9822856967143,Pré-Lockdown (Azul),0.0,38.886,-77.027
AM.R4989,0.19296109879202916,Pré-Lockdown (Azul),2066.0,44.894914,-68.667412
AM.R49B6,14.317191009346551,Pré-Lockdown (Azul),16432.0,18.55855856,-72.29235928
AM.R5365,13.580151061661304,Pré-Lockdown (Azul),434.0,47.5405,-122.1419
AM.R550B,13.941421876182773,Pré-Lockdown (Azul),17007.0,43.63963964,-79.39400533
AM.R5661,24.471609718658016,Pré-Lockdown (Azul),6357.0,4.648648649,-74.04571098
AM.R57EC,-19.336869656193485,Pré-Lockdown (Azul),1017.0,42.33333333,-71.1612003
AM.R6EC4,13.301644168209354,Pré-Lockdown (Azul),609.0,27.7027027,84.39567337
AM.R7184,3.7438761425462985,Pré-Lockdown (Azul),1797.0,5.954954955,116.0871007
AM.R7A15,-17.180429237582697,Pré-Lockdown (Azul),85.0,36.7027027,48.50000251
AM.R7FA5,3.4327906294883377,Pré-Lockdown (Azul),173.0,50.25225225,-5.030897567
AM.R8473,13.690490331341561,Pré-Lockdown (Azul),2041.0,12.52252252,-70.01701714
AM.R85CD,20.205478188286875,Pré-Lockdown (Azul),2349.0,41.8209,-87.7747
AM.R86AD,14.846473795964798,Pré-Lockdown (Azul),1191.0,14.43243243,-89.17589773
AM.R87FD,-25.518224720285453,Pré-Lockdown (Azul),102.0,62.18018018,-6.737750225
AM.R8C46,9.335470119189218,Pré-Lockdown (Azul),1137.0,27.6036036,84.60611444
AM.R92E0,-28.75148204322926,Pré-Lockdown (Azul),15.0,56.94594595,-2.263031702
AM.R940D,-7.9159911749294345,Pré-Lockdown (Azul),76.0,8.72972973,-82.42519259
AM.R99D0,-5.179833951447428,Pré-Lockdown (Azul),6291.0,57.67567568,11.99637537
AM.R9F13,30.882652984552955,Pré-Lockdown (Azul),995.0,52.21621622,21.13199727
AM.RA2DE,-25.28338260626495,Pré-Lockdown (Azul),1017.0,42.33333333,-71.1612003
AM.RAC22,13.861178728605612,Pré-Lockdown (Azul),584.0,38.878908,-77.342648
AM.RAE6A,-5.982835446139987,Pré-Lockdown (Azul),4706.0,39.76,-104.97
AM.RB53D,10.140816580497116,Pré-Lockdown (Azul),5.0,41.712273,-73.205846
AM.RB669,12.121720055770034,Pré-Lockdown (Azul),247.0,-43.90990991,171.7359847
AM.RB77C,5.256684947791648,Pré-Lockdown (Azul),6279.0,47.6126,-122.3344
AM.RBB7B,-2.7077054045867044,Pré-Lockdown (Azul),131.0,28.40540541,83.37772257
AM.RBC24,13.23712677913699,Pré-Lockdown (Azul),392.0,15.30630631,-61.34930843
AM.RCABD,35.847180774980245,Pré-Lockdown (Azul),148.0,42.3848,-71.3218
AM.RCC68,33.878052679771606,Pré-Lockdown (Azul),8365.0,6.252252252,-75.58566991
